Local time,Open,High,Low,Close,Volume
11.01.2019 12:00:00.000 GMT-0500,33.022,33.088,32.907,32.967,43.1846
11.01.2019 13:00:00.000 GMT-0500,32.967,32.980,32.717,32.758,38.6548
11.01.2019 14:00:00.000 GMT-0500,32.758,32.918,32.629,32.699,43.357
11.01.2019 15:00:00.000 GMT-0500,32.699,32.878,32.687,32.818,46.1989
11.01.2019 16:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
11.01.2019 17:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
11.01.2019 18:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
11.01.2019 19:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
11.01.2019 20:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
11.01.2019 21:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
11.01.2019 22:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
11.01.2019 23:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 00:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 01:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 02:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 03:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 04:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 05:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 06:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 07:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 08:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 09:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 10:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 11:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 12:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 13:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 14:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 15:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 16:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 17:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 18:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 19:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 20:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 21:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 22:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
12.01.2019 23:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 00:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 01:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 02:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 03:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 04:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 05:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 06:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 07:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 08:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 09:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 10:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 11:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 12:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 13:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 14:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 15:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 16:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 17:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 18:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 19:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 20:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 21:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 22:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
13.01.2019 23:00:00.000 GMT-0500,32.818,32.818,32.818,32.818,0
